tmc,tstamp,speed
129P04123,2020-03-10 06:40:00,51.28,100.00
129P04123,2020-03-10 06:50:00,57.29,100.00
129P04123,2020-03-10 07:00:00,58.55,91.80
129P04123,2020-03-10 07:10:00,53.18,100.00
129P04123,2020-03-10 07:20:00,52.99,100.00
129P04123,2020-03-10 07:30:00,53.48,100.00
129P04123,2020-03-10 07:40:00,50.41,100.00
129P04123,2020-03-10 07:50:00,50.93,100.00
129P04123,2020-03-10 08:00:00,53.22,100.00
129P04123,2020-03-10 08:10:00,52.76,100.00
129P04123,2020-03-10 08:20:00,52.38,100.00
129P04123,2020-03-10 08:30:00,48.75,100.00
129P04123,2020-03-10 08:40:00,52.42,94.90
129P04123,2020-03-10 08:50:00,57.51,79.10
129P04123,2020-03-10 09:00:00,51.66,98.50
129P04123,2020-03-10 09:10:00,49.57,100.00
129P04123,2020-03-10 09:20:00,51.36,96.10
129P04123,2020-03-10 09:30:00,47.79,100.00
129P04123,2020-03-10 09:40:00,47.49,100.00
129P04123,2020-03-10 09:50:00,50.57,100.00
129P04123,2020-03-10 10:00:00,48.28,100.00
129P04123,2020-03-10 10:10:00,49.27,100.00
129P04123,2020-03-10 10:20:00,48.29,99.70
129P04123,2020-03-10 10:30:00,49.48,99.00
129P04123,2020-03-10 10:40:00,47.72,99.90
129P04123,2020-03-10 10:50:00,49.71,98.00
129P04123,2020-03-10 11:00:00,55.59,99.10
129P04123,2020-03-10 11:10:00,50.20,97.90
129P04123,2020-03-10 11:20:00,48.50,100.00
129P04123,2020-03-10 11:30:00,47.15,99.40
129P04123,2020-03-10 11:40:00,49.16,100.00
129P04123,2020-03-10 11:50:00,49.08,100.00
129P04123,2020-03-10 12:00:00,51.22,98.80
129P04123,2020-03-10 12:10:00,51.67,90.30
129P04123,2020-03-10 12:20:00,49.44,100.00
129P04123,2020-03-10 12:30:00,52.66,99.90
129P04123,2020-03-10 12:40:00,51.94,100.00
129P04123,2020-03-10 12:50:00,51.46,100.00
129P04123,2020-03-10 13:00:00,48.39,100.00
129P04123,2020-03-10 13:10:00,50.56,100.00
129P04123,2020-03-10 13:20:00,49.09,100.00
129P04123,2020-03-10 13:30:00,48.34,100.00
129P04123,2020-03-10 13:40:00,46.55,100.00
129P04123,2020-03-10 13:50:00,49.37,100.00
129P04123,2020-03-10 14:00:00,49.66,100.00
129P04123,2020-03-10 14:10:00,50.50,100.00
129P04123,2020-03-10 14:20:00,48.75,100.00
129P04123,2020-03-10 14:30:00,46.49,100.00
129P04123,2020-03-10 14:40:00,44.80,100.00
129P04123,2020-03-10 14:50:00,43.37,100.00
129P04123,2020-03-10 15:00:00,47.49,100.00
129P04123,2020-03-10 15:10:00,44.51,100.00
129P04123,2020-03-10 15:20:00,48.16,100.00
129P04123,2020-03-10 15:30:00,48.88,100.00
129P04123,2020-03-10 15:40:00,43.36,100.00
129P04123,2020-03-10 15:50:00,46.69,98.30
129P04123,2020-03-10 16:00:00,47.34,97.40
129P04123,2020-03-10 16:10:00,48.22,100.00
129P04123,2020-03-10 16:20:00,42.16,100.00
129P04123,2020-03-10 16:30:00,40.87,98.60
129P04123,2020-03-10 16:40:00,40.37,91.40
129P04123,2020-03-10 16:50:00,40.37,100.00
129P04123,2020-03-10 17:00:00,41.40,100.00
129P04123,2020-03-10 17:10:00,47.97,100.00
129P04123,2020-03-10 17:20:00,45.40,100.00
129P04123,2020-03-10 17:30:00,31.52,100.00
129P04123,2020-03-10 17:40:00,20.88,100.00
129P04123,2020-03-10 17:50:00,34.22,100.00
129P04123,2020-03-10 18:00:00,45.62,100.00
129P04123,2020-03-10 18:10:00,48.96,100.00
129P04123,2020-03-10 18:20:00,47.36,95.40
129P04123,2020-03-10 18:30:00,48.87,96.10
129P04123,2020-03-10 18:40:00,50.72,98.60
129P04123,2020-03-10 18:50:00,48.49,100.00
129P04123,2020-03-10 19:00:00,46.24,99.30
129P04123,2020-03-10 19:10:00,48.00,100.00
129P04123,2020-03-10 19:20:00,48.62,100.00
129P04123,2020-03-10 19:30:00,48.65,90.70
129P04123,2020-03-10 19:40:00,50.92,96.20
129P04123,2020-03-10 19:50:00,48.74,99.60
129P04123,2020-03-10 20:00:00,53.59,91.90
129P04123,2020-03-10 20:10:00,53.10,87.80
129P04123,2020-03-10 20:20:00,54.26,96.30
129P04123,2020-03-10 20:30:00,52.07,94.40
129P04123,2020-03-10 20:40:00,52.09,100.00
129P04123,2020-03-10 20:50:00,51.69,100.00
129P04123,2020-03-10 21:00:00,56.63,89.50
129P04123,2020-03-10 21:10:00,58.45,80.70
129P04123,2020-03-10 21:20:00,57.36,89.20
129P04123,2020-03-10 21:30:00,53.96,98.90
129P04123,2020-03-10 21:40:00,56.89,82.80
129P04123,2020-03-10 21:50:00,47.05,37.30
129P04123,2020-03-10 22:00:00,44.68,31.20
129P04123,2020-03-10 22:10:00,43.57,61.70
129P04123,2020-03-10 22:20:00,46.90,95.70
129P04123,2020-03-10 22:30:00,47.00,97.80
129P04123,2020-03-10 22:40:00,45.58,99.10
129P04123,2020-03-10 22:50:00,55.98,100.00
129P04123,2020-03-10 23:00:00,52.93,80.50
129P04123,2020-03-10 23:10:00,45.35,72.90
129P04123,2020-03-10 23:20:00,44.59,34.00
129P04123,2020-03-10 23:30:00,44.59,71.70
129P04123,2020-03-10 23:40:00,45.00,95.00
129P04123,2020-03-10 23:50:00,54.11,81.80
129P04122,2020-03-10 00:00:00,55.70,57.30
129P04122,2020-03-10 00:10:00,56.00,60.00
129P04122,2020-03-10 00:20:00,58.77,74.67
129P04122,2020-03-10 00:30:00,57.98,96.30
129P04122,2020-03-10 00:40:00,57.25,96.90
129P04122,2020-03-10 00:50:00,61.00,100.00
129P04122,2020-03-10 01:00:00,61.00,99.14
129P04122,2020-03-10 01:10:00,61.19,95.57
129P04122,2020-03-10 01:20:00,63.01,88.90
129P04122,2020-03-10 01:30:00,59.26,80.30
129P04122,2020-03-10 01:40:00,57.00,64.80
129P04122,2020-03-10 01:50:00,61.98,34.00
129P04122,2020-03-10 02:00:00,51.23,43.80
129P04122,2020-03-10 02:10:00,52.65,80.50
129P04122,2020-03-10 02:20:00,55.78,92.90
129P04122,2020-03-10 02:30:00,57.00,80.33
129P04122,2020-03-10 02:40:00,57.00,70.30
129P04122,2020-03-10 02:50:00,59.00,81.50
129P04122,2020-03-10 03:00:00,59.00,80.00
129P04122,2020-03-10 03:10:00,73.70,28.70
129P04122,2020-03-10 03:20:00,74.05,62.00
129P04122,2020-03-10 03:30:00,74.78,54.20
129P04122,2020-03-10 03:40:00,69.00,48.67
129P04122,2020-03-10 03:50:00,69.00,84.50
129P04122,2020-03-10 04:00:00,69.00,90.40
129P04122,2020-03-10 04:10:00,65.39,88.80
129P04122,2020-03-10 04:20:00,63.87,64.30
129P04122,2020-03-10 04:30:00,63.00,95.20
129P04122,2020-03-10 04:40:00,62.58,98.50
129P04122,2020-03-10 04:50:00,61.91,89.20
129P04122,2020-03-10 05:00:00,60.41,39.30
129P04122,2020-03-10 05:10:00,51.52,17.90
129P04122,2020-03-10 05:20:00,61.76,88.80
129P04122,2020-03-10 05:30:00,63.00,91.40
129P04122,2020-03-10 05:40:00,57.55,91.70
129P04122,2020-03-10 05:50:00,58.60,91.40
129P04122,2020-03-10 06:00:00,58.63,99.50
129P04122,2020-03-10 06:10:00,51.56,100.00
129P04122,2020-03-10 06:20:00,56.68,100.00
129P04122,2020-03-10 06:30:00,54.39,100.00
129P04122,2020-03-10 06:40:00,52.97,100.00
129P04122,2020-03-10 06:50:00,56.89,100.00
