tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129N04314,22,18.98038319,20.00165953,1.000661313,I495 SB,Marston St/Exit 45 - Merrimack St/Exit 44,Massachusetts Ave/Exit 43,3,55,1611.679476,Marston St/Merrimack St
129-04313,23,20.00165953,20.02415125,0.02189573,I495 SB,Massachusetts Ave/Exit 43,Massachusetts Ave/Exit 43,3,55,35.3984403,Massachusetts Ave/Exit 43
129N04313,24,20.02415125,20.2756059,0.245402129,I495 SB,Massachusetts Ave/Exit 43,Massachusetts Ave/Exit 43,3,55,395.2439345,Massachusetts Ave/Exit 43
129-04312,25,20.2756059,20.53447441,0.253244733,I495 SB,Massachusetts Ave/Exit 43,MA-114/Exit 42,3,55,409.2956599,RT-114/Exit 42
129N04312,26,20.53447441,21.05900383,0.515308164,I495 SB,MA-114/Exit 42,MA-114/Exit 42,3,55,828.5296005,RT-114/Exit 42
129-04311,27,21.05900383,21.62351702,0.553157103,I495 SB,MA-114/Exit 42,MA-28/Exit 41,3,55,891.3542205,RT-28/Exit 41
129N04311,28,21.62351702,21.8248355,0.196951407,I495 SB,MA-28/Exit 41,MA-28/Exit 41,3,55,317.7346996,RT-28/Exit 41
129-04310,29,21.8248355,23.70873325,1.844153806,I495 SB,MA-28/Exit 41,I-93/Exit 40,3,60,2973.192751,I-93/Exit 40
129N04310,30,23.70873325,24.28499765,0.564761888,I495 SB,I-93/Exit 40,I-93/Exit 40,3,65,909.7511799,I-93/Exit 40
129-04309,31,24.28499765,26.2308363,1.905027301,I495 SB,I-93/Exit 40,MA-133/Andover St/Exit 39,3,65,3070.728585,RT-133/Andover St/Exit 39
129N04309,32,26.2308363,26.48691431,0.25002206,I495 SB,MA-133/Andover St/Exit 39,MA-133/Andover St/Exit 39,3,65,404.1425764,RT-133/Andover St/Exit 39
129-04308,33,26.48691431,28.65588425,2.122100645,I495 SB,MA-133/Andover St/Exit 39,MA-38/Main St/Exit 38,3,65,3423.022685,RT-38/Main St/Exit 38
129N04308,34,28.65588425,29.18059601,0.512959638,I495 SB,MA-38/Main St/Exit 38,MA-38/Main St/Exit 38,3,65,827.9590695,RT-38/Main St/Exit 38
129-04307,35,29.18059601,29.81002146,0.616962418,I495 SB,MA-38/Main St/Exit 38,Woburn St/Exit 37,3,65,993.2841865,Woburn St/Exit 37
129N04307,36,29.81002146,30.16686519,0.348915618,I495 SB,Woburn St/Exit 37,Woburn St/Exit 37,3,65,563.0507262,Woburn St/Exit 37
129-04306,37,30.16686519,31.36396372,1.170408922,I495 SB,Woburn St/Exit 37,US-3/Exit 35B & 35C,3,65,1889.225986,US-3/Lowell Conn/Exit 35/Exit 36
129N04306,38,31.36396372,32.56627683,1.176649717,I495 SB,US-3/Exit 35B & 35C,US-3/Exit 35B & 35C,3,65,1898.041034,US-3/Lowell Conn/Exit 35/Exit 36
129-04305,39,32.56627683,33.07323483,0.495445234,I495 SB,US-3/Exit 35B & 35C,MA-110/Chelmsford St/Exit 34,3,65,799.9943814,RT-110/Chelmsford St/Exit 34
129N04305,40,33.07323483,33.27543314,0.197769498,I495 SB,MA-110/Chelmsford St/Exit 34,MA-110/Chelmsford St/Exit 34,3,65,319.0836376,RT-110/Chelmsford St/Exit 34
129-04304,41,33.27543314,33.54477724,0.262919863,I495 SB,MA-110/Chelmsford Str/Exit 34,MA-4/North Rd/Exit 33,3,65,425.0394244,RT-4/North Rd/Exit 33
129N04304,42,33.54477724,33.78876784,0.238373954,I495 SB,MA-4/North Rd/Exit 33,MA-4/North Rd/Exit 33,3,65,385.0788621,RT-4/North Rd/Exit 33
129-04303,43,33.78876784,37.737029,3.864045335,I495 SB,MA-4/North Rd/Exit 33,Boston Rd/Exit 32,3,65,6230.395402,Boston Rd/Exit 32
129N04303,44,37.737029,38.26057407,0.512907988,I495 SB,Boston Rd/Exit 32,Boston Rd/Exit 32,3,65,826.252992,Boston Rd/Exit 32
129-04302,45,38.26057407,41.223,2.90082226,I495 SB,Boston Rd/Exit 32,MA-119/Great Rd/Exit 31,4,65,4674.427674,RT-119/Great Rd/Exit 31
129N04302,46,41.223,41.47958578,0.25068217,I495 SB,MA-119/Great Rd/Exit 31,MA-119/Great Rd/Exit 31,3,65,404.9715933,RT-119/Great Rd/Exit 31
129-04301,47,41.47958578,42.28910328,0.792602131,I495 SB,MA-119/Great Rd/Exit 31,MA-110/MA-2A/King St/Exit 30,3,65,1277.532232,RT-2A/RT-110/King St/Exit 30
129N04301,48,42.28910328,42.51576306,0.22346933,I495 SB,MA-110/MA-2A/King St/Exit 30,MA-110/MA-2A/King St/Exit 30,3,65,357.6900916,RT-2A/RT-110/King St/Exit 30
129-04300,49,42.51576306,43.51032583,0.975025719,I495 SB,MA-110/MA-2A/King St/Exit 30,MA-2/Exit 29,3,65,1569.521467,RT-2/Exit 29
129N04300,50,43.51032583,44.00477694,0.48473787,I495 SB,MA-2/Exit 29,MA-2/Exit 29,3,65,779.8720655,RT-2/Exit 29
129-04299,51,44.00477694,46.88055328,2.818895499,I495 SB,MA-2/Exit 29,MA-111/Exit 28,3,65,4538.353897,RT-111/Exit 28
129N04299,52,46.88055328,47.1167797,0.232364126,I495 SB,MA-111/Exit 28,MA-111/Exit 28,3,65,372.738819,RT-111/Exit 28
129-04298,53,47.1167797,51.58039064,4.375982438,I495 SB,MA-111/Exit 28,MA-117/Main St/Exit 27,3,65,7043.830802,RT-117/Main St/Exit 27
129N04298,54,51.58039064,51.82678898,0.241518416,I495 SB,MA-117/Main St/Exit 27,MA-117/Main St/Exit 27,3,65,388.8083985,RT-117/Main St/Exit 27
129-04297,55,51.82678898,54.37782568,2.501383094,I495 SB,MA-117/Main St/Exit 27,MA-62/Exit 26,3,65,4025.688763,RT-62/Exit 26
129N04297,56,54.37782568,54.58699598,0.204666626,I495 SB,MA-62/Exit 26,MA-62/Exit 26,3,65,330.2836514,RT-62/Exit 26
129-04296,57,54.58699598,56.51381553,1.891042855,I495 SB,MA-62/Exit 26,I-290/Exit 25,3,65,3041.145122,I-290/Exit 25
129N04296,58,56.51381553,57.00017942,0.476069473,I495 SB,I-290/Exit 25,I-290/Exit 25,3,65,767.6692721,I-290/Exit 25
129-04295,59,57.00017942,58.26653452,1.241060905,I495 SB,I-290/Exit 25,US-20/Lakeside Ave/Exit 24,3,65,1998.897673,US-20/Lakeside Ave/Exit 24
129N04295,60,58.26653452,58.78508245,0.509117606,I495 SB,US-20/Lakeside Ave/Exit 24,US-20/Lakeside Ave/Exit 24,3,65,818.3585263,US-20/Lakeside Ave/Exit 24
129-04294,61,58.78508245,62.07160191,3.225176807,I495 SB,US-20/Lakeside Ave/Exit 24,MA-9/Turnpike Rd/Exit 23,3,65,5186.068375,RT-9/Turnpike Rd/Exit 23
129N04294,62,62.07160191,62.52418202,0.443888998,I495 SB,MA-9/Turnpike Rd/Exit 23,MA-9/Turnpike Rd/Exit 23,3,65,714.2910731,RT-9/Turnpike Rd/Exit 23
