tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129P04362,78,38.87763354,39.57018726,0.682526834,I95 NB,"Exits 23, 24, 25/Recreation Rd/SR-30/I-90","Exits 23, 24, 25/Recreation Rd/SR-30/I-90",4,55,1100.078012,I-90/Mass Pike/Exit 23
129+04362,79,38.82265165,38.87763354,0.054140678,I95 NB,"Exits 23, 24, 25/Recreation Rd/SR-30/I-90","Exits 23, 24, 25/Recreation Rd/SR-30/I-90",4,55,87.32111471,I-90/Mass Pike/Exit 23
129P04361,80,38.74823804,38.82265165,0.073095124,I95 NB,Grove St/Exit 22,"Exits 23, 24, 25/Recreation Rd/SR-30/I-90",4,55,118.3934988,Grove St/Exit 22
129+04361,81,38.64144684,38.74823804,0.106055122,I95 NB,MA-16/Washington St/Exit 21,Grove St/Exit 22,4,55,169.6534242,Grove St/Exit 22
129P04360,82,38.3344897,38.64144684,0.302353944,I95 NB,MA-16/Washington St/Exit 21,MA-16/Washington St/Exit 21,4,55,486.9342509,RT-16/Washington St/Exit 21
129+04360,83,37.36060513,38.3344897,0.962955275,I95 NB,MA-9/Worcester St/Exit 20,MA-16/Washington St/Exit 21,4,55,1551.302692,RT-16/Washington St/Exit 21
129P04359,84,36.91353217,37.36060513,0.441390034,I95 NB,MA-9/Worcester St/Exit 20,MA-9/Worcester St/Exit 20,4,55,711.0424127,RT-9/Worcester St/Exit 20
129+04359,85,36.34458677,36.91353217,0.56029491,I95 NB,Highland Ave/Exit 19,MA-9/Worcester St/Exit 20,3,55,903.6006746,RT-9/Worcester St/Exit 20
129P04358,86,34.98659859,36.34458677,1.340462518,I95 NB,Highland Ave/Exit 19,Highland Ave/Exit 19,3,55,2156.008808,Highland Ave/Exit 19
129+04358,87,33.44665701,34.98659859,1.518290598,I95 NB,Great Plain Ave/Exit 18,Highland Ave/Exit 19,3,55,2446.089745,Highland Ave/Exit 19
129P04357,88,33.27820951,33.44665701,0.166136289,I95 NB,Great Plain Ave/Exit 18,Great Plain Ave/Exit 18,3,55,267.892246,Great Plain Ave/Exit 18
129+04357,89,32.9741602,33.27820951,0.299824893,I95 NB,MA-135/West St/Exit 17,Great Plain Ave/Exit 18,3,55,483.121348,Great Plain Ave/Exit 18
129P04356,90,32.75988459,32.9741602,0.210611961,I95 NB,MA-135/West St/Exit 17,MA-135/West St/Exit 17,3,55,340.0205387,RT-135/West St/Exit 17
129+04356,91,31.59989469,32.75988459,1.14557343,I95 NB,MA-109/High St/Exit 16,MA-135/West St/Exit 17,3,55,1841.583489,RT-135/West St/Exit 17
129P04355,92,31.00642198,31.59989469,0.586263197,I95 NB,MA-109/High St/Exit 16,MA-109/High St/Exit 16,3,55,942.2858543,RT-109/High St/Exit 16
129+04355,93,29.96908375,31.00642198,1.02209238,I95 NB,MA-1A/Exit 15,MA-109/High St/Exit 16,3,55,1647.396886,RT-109/High St/Exit 16
129P04354,94,29.50905689,29.96908375,0.453764027,I95 NB,MA-1A/Exit 15,MA-1A/Exit 15,3,55,730.6016303,US-1 (Dedham)/Exit 15
129+04354,95,29.31248502,29.50905689,0.19296955,I95 NB,Canton St/East St/Exit 14,MA-1A/Exit 15,3,55,312.5889614,US-1 (Dedham)/Exit 15
129P04353,96,28.79758825,29.31248502,0.506883194,I95 NB,Canton St/East St/Exit 14,Canton St/East St/Exit 14,3,55,817.6956265,Canton St/East St/Exit 14
129+04353,97,27.92501555,28.79758825,0.859909305,I95 NB,University Ave/Exit 13,Canton St/East St/Exit 14,3,55,1385.942498,Canton St/East St/Exit 14
129P04352,98,27.74153004,27.92501555,0.181089674,I95 NB,University Ave/Exit 13,University Ave/Exit 13,3,55,291.590949,University Ave/Exit 13
129+04352,99,27.34003793,27.74153004,0.39433919,I95 NB,I-93/Exit 12,University Ave/Exit 13,4,55,636.2046495,University Ave/Exit 13
129P04351,100,26.19074037,27.34003793,1.126285207,I95 NB,I-93/Exit 12,I-93/Exit 12,3,25,1812.734916,I-93 (Canton)/Exit 12
129+04351,101,23.86210741,26.19074037,2.298057389,I95 NB,Neponset St/Exit 11,I-93/Exit 12,3,65,3698.637106,I-93 (Canton)/Exit 12
129P04350,102,23.2720297,23.86210741,0.582216781,I95 NB,Neponset St/Exit 11,Neponset St/Exit 11,3,65,937.2722158,Neponset St/Exit 11
129+04350,103,21.64853472,23.2720297,1.599647242,I95 NB,Coney St/Exit 10,Neponset St/Exit 11,4,65,2578.683513,Neponset St/Exit 11
129P04349,104,21.33379934,21.64853472,0.309262644,I95 NB,Coney St/Exit 10,Coney St/Exit 10,3,65,499.8224768,Coney St/Exit 10
129+04349,105,19.92087518,21.33379934,1.392306316,I95 NB,US-1/Exit 9,Coney St/Exit 10,3,65,2243.654757,Coney St/Exit 10
